Isolate	incI1.cgMLST99	Serovar	Prov	Region	Year_Collected	Source	SourceLoc	Cluster
SA20082286	Group4	S.Heidelberg	ON	ON	2010	Chicken	Diagnostic	431
SA20050291	Group4	S.Heidelberg	BC	WEST	2004	Chicken	Abattoir	.
SA20050292	Group4	S.Heidelberg	BC	WEST	2004	Chicken	Abattoir	.
SA20054288	Group4	S.Heidelberg	BC	WEST	2005	Chicken	Abattoir	.
SA20064693	Group4	S.Heidelberg	BC	WEST	2006	Chicken	Abattoir	.
SA20084067	Group4	S.Heidelberg	BC	WEST	2008	Chicken	Abattoir	.
SA20111236	Group4	S.Heidelberg	NB	ATL	2011	Chicken	Abattoir	.
SA20050383	Group4	S.Heidelberg	ON	ON	2004	Chicken	Abattoir	.
SA20094368	Group4	S.Heidelberg	ON	ON	2009	Chicken	Abattoir	.
SA20103145	Group4	S.Heidelberg	ON	ON	2010	Chicken	Abattoir	.
SA20133596	Group1	S.Heidelberg	ON	ON	2013	Chicken	Abattoir	46
SA20043519	Group4	S.Heidelberg	QC	QC	2004	Chicken	Abattoir	.
SA20070762	Group4	S.Heidelberg	NB	ATL	2007	Chicken	Diagnostic	.
SA20140053	Group4	S.Heidelberg	ON	ON	2015	Chicken	Diagnostic	.
SA20134501	Group1	S.Heidelberg	NS	ATL	2014	Chicken	Farm	401
SA20134756	Group4	S.Heidelberg	NS	ATL	2014	Chicken	Farm	402
SA20136062	Group4	S.Heidelberg	ON	ON	2013	Chicken	Farm	4
SA20133272	Group4	S.Heidelberg	ON	ON	2013	Chicken	Farm	42
SA20133273	Group1	S.Heidelberg	ON	ON	2013	Chicken	Farm	42
SA20133754	Group4	S.Heidelberg	ON	ON	2013	Chicken	Farm	3
SA20134423	Group4	S.Heidelberg	ON	ON	2014	Chicken	Farm	.
SA20151102	Group4	S.Heidelberg	QC	QC	2013	Chicken	Farm	.
SA20141146	Group4	S.Heidelberg	QC	QC	2015	Chicken	Farm	349
SA20141148	Group4	S.Heidelberg	QC	QC	2015	Chicken	Farm	349
SA20130062	Group4	S.Heidelberg	ON	ON	2013	Chicken	Hatchery	264
SA20132629	Group4	S.Heidelberg	ON	ON	2013	Chicken	Hatchery	290
SA20060410	Group4	S.Heidelberg	BC	WEST	2005	Chicken	Retail	.
SA20093789	Group4	S.Kentucky	BC	WEST	2009	Chicken	Retail	.
SA20094655	Group1	S.Heidelberg	BC	WEST	2009	Chicken	Retail	.
SA20140260	Group4	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20132657	Group4	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20142987	Group1	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20142577	Group4	S.Heidelberg	BC	WEST	2015	Chicken	Retail	.
SA20145789	Group4	S.Heidelberg	NB	ATL	2013	Chicken	Retail	.
SA20145771	Group4	S.Heidelberg	NB	ATL	2015	Chicken	Retail	.
SA20145774	Group4	S.Kentucky	NB	ATL	2015	Chicken	Retail	.
SA20090337	Group4	S.Heidelberg	NS	ATL	2008	Chicken	Retail	.
SA20120641	Group4	S.Heidelberg	NS	ATL	2011	Chicken	Retail	.
SA20151616	Group4	S.Heidelberg	NS	ATL	2013	Chicken	Retail	.
SA20145301	Group4	S.Heidelberg	NS	ATL	2015	Chicken	Retail	.
SA20050343	Group4	S.Heidelberg	ON	ON	2004	Chicken	Retail	.
SA20055004	Group4	S.Heidelberg	ON	ON	2005	Chicken	Retail	.
SA20145145	Group4	S.Heidelberg	ON	ON	2006	Chicken	Retail	.
SA20080375	Group4	S.Heidelberg	ON	ON	2007	Chicken	Retail	.
SA20084675	Group4	S.Heidelberg	ON	ON	2008	Chicken	Retail	.
SA20150549	Group4	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20151405	Group4	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20132100	Group4	S.Heidelberg	ON	ON	2013	Chicken	Retail	144
SA20131254	Group4	S.Heidelberg	ON	ON	2013	Chicken	Retail	66
SA20132642	Group4	S.Heidelberg	ON	ON	2013	Chicken	Retail	84
SA20132643	Group4	S.Kentucky	ON	ON	2013	Chicken	Retail	56
SA20143123	Group4	S.Heidelberg	ON	ON	2014	Chicken	Retail	181
SA20135252	Group4	S.Heidelberg	ON	ON	2014	Chicken	Retail	65
SA20143472	Group4	S.Heidelberg	ON	ON	2014	Chicken	Retail	202
SA20135266	Group4	S.Kentucky	ON	ON	2014	Chicken	Retail	87
SA20135263	Group4	S.Heidelberg	ON	ON	2014	Chicken	Retail	78
SA20135777	Group4	S.Heidelberg	ON	ON	2014	Chicken	Retail	96
SA20142542	Group4	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
SA20143042	Group4	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
SA20034422	Group4	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20050345	Group4	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20073619	Group4	S.Heidelberg	QC	QC	2007	Chicken	Retail	.
SA20082187	Group4	S.Heidelberg	QC	QC	2008	Chicken	Retail	.
SA20111541	Group4	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20112742	Group4	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20113457	Group1	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20116348	Group4	S.Kentucky	QC	QC	2011	Chicken	Retail	.
SA20116638	Group4	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20156269	Group4	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20133599	Group4	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20141864	Group4	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20142889	Group4	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20094419	Group4	S.Heidelberg	SK	PRA	2009	Chicken	Retail	.
SA20100450	Group4	S.Heidelberg	SK	PRA	2009	Chicken	Retail	.
SA20101705	Group4	S.Heidelberg	SK	PRA	2010	Chicken	Retail	.
SA20144414	Group3	S.Heidelberg	ON	ON	2013	Chicken	Diagnostic	432
SA20152680	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	429
SA20152681	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	429
SA20152924	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	429
SA20152927	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	429
SA20152000	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	428
SA20152001	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	428
SA20152002	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	428
SA20152004	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	428
SA20151993	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	427
SA20151998	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	427
SA20146199	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	426
SA20146201	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	426
SA20146203	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	426
SA20140861	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	425
SA20140862	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	425
SA20135865	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Abattoir	.
SA20150793	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Abattoir	.
SA20135344	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Abattoir	.
SA20135877	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Abattoir	.
SA20135906	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Abattoir	.
SA20130913	Group3	S.Heidelberg	ON	ON	2013	Chicken	Abattoir	.
SA20133036	Group3	S.Heidelberg	ON	ON	2013	Chicken	Abattoir	353
SA20133037	Group3	S.Heidelberg	ON	ON	2013	Chicken	Abattoir	353
SA20133096	Group3	S.Heidelberg	ON	ON	2013	Chicken	Abattoir	354
SA20141123	Group3	S.Heidelberg	ON	ON	2013	Chicken	Abattoir	.
SA20142924	Group3	S.Heidelberg	ON	ON	2015	Chicken	Abattoir	.
SA20133595	Group3	S.Heidelberg	QC	QC	2014	Chicken	Abattoir	.
SA20145892	Group3	S.Heidelberg	QC	QC	2015	Chicken	Abattoir	355
SA20133663	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	.
SA20140863	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	.
SA20146792	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	.
SA20152005	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	.
SA20152006	Group3	S.Kentucky	AB	PRA	2013	Chicken	Diagnostic	.
SA20153681	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Diagnostic	.
SA20131822	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Diagnostic	.
SA20151983	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Diagnostic	.
SA20153138	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Diagnostic	.
SA20022156	Group3	S.Heidelberg	ON	ON	2002	Chicken	Diagnostic	.
SA20132617	Group3	S.Heidelberg	ON	ON	2013	Chicken	Diagnostic	.
SA20141666	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	322
SA20141678	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	322
SA20141679	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	322
SA20141680	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	322
SA20141682	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	323
SA20141690	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	324
SA20141691	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Farm	324
SA20135417	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	325
SA20135418	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	325
SA20135419	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	325
SA20160678	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	332
SA20160679	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	332
SA20160680	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	332
SA20160681	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	332
SA20160671	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	331
SA20160672	Group3	S.Kentucky	BC	WEST	2013	Chicken	Farm	331
SA20160673	Group3	S.Kentucky	BC	WEST	2013	Chicken	Farm	331
SA20160674	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	333
SA20160675	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	333
SA20160677	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Farm	333
SA20161199	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	334
SA20161200	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	334
SA20161201	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	334
SA20161202	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	334
SA20161193	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	335
SA20161194	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	335
SA20161195	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	336
SA20161196	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	336
SA20161197	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	336
SA20161198	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	336
SA20161203	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Farm	337
SA20132057	Group3	S.Heidelberg	ON	ON	2013	Chicken	Farm	321
SA20132059	Group3	S.Kentucky	ON	ON	2013	Chicken	Farm	321
SA20132060	Group3	S.Heidelberg	ON	ON	2013	Chicken	Farm	321
SA20142588	Group3	S.Heidelberg	ON	ON	2013	Chicken	Farm	321
SA20142589	Group3	S.Heidelberg	ON	ON	2013	Chicken	Farm	321
SA20142590	Group3	S.Heidelberg	ON	ON	2013	Chicken	Farm	321
SA20140466	Group3	S.Heidelberg	ON	ON	2014	Chicken	Farm	28
SA20140471	Group3	S.Heidelberg	ON	ON	2015	Chicken	Farm	2
SA20140472	Group3	S.Heidelberg	ON	ON	2015	Chicken	Farm	2
SA20143800	Group3	S.Heidelberg	QC	QC	2014	Chicken	Farm	.
SA20144758	Group3	S.Heidelberg	QC	QC	2014	Chicken	Farm	.
SA20146410	Group3	S.Heidelberg	QC	QC	2014	Chicken	Farm	.
SA20146415	Group3	S.Kentucky	QC	QC	2014	Chicken	Farm	.
SA20161664	Group3	S.Heidelberg	QC	QC	2015	Chicken	Farm	350
SA20161665	Group3	S.Heidelberg	QC	QC	2015	Chicken	Farm	350
SA20161666	Group3	S.Heidelberg	QC	QC	2015	Chicken	Farm	350
SA20161667	Group3	S.Heidelberg	QC	QC	2015	Chicken	Farm	350
SA20141667	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Hatchery	322
SA20141668	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Hatchery	322
SA20141669	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Hatchery	322
SA20141670	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Hatchery	322
SA20140986	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Hatchery	.
SA20161331	Group3	S.Heidelberg	QC	QC	2014	Chicken	Hatchery	.
SA20143816	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Processing	.
SA20135871	Group3	S.Heidelberg	QC	QC	2013	Chicken	Processing	.
SA20135911	Group3	S.Heidelberg	QC	QC	2013	Chicken	Processing	.
SA20146414	Group3	S.Heidelberg	QC	QC	2014	Chicken	Processing	.
SA20135347	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Retail	.
SA20141538	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Retail	.
SA20141540	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Retail	.
SA20145812	Group3	S.Kentucky	AB	PRA	2013	Chicken	Retail	.
SA20152810	Group3	S.Heidelberg	AB	PRA	2013	Chicken	Retail	.
SA20160809	Group3	S.Kentucky	AB	PRA	2013	Chicken	Retail	.
SA20160907	Group3	S.Heidelberg	AB	PRA	2015	Chicken	Retail	.
SA20131743	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20131710	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20131748	Group3	S.Kentucky	BC	WEST	2013	Chicken	Retail	.
SA20131757	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20131763	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20131788	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20131790	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20132947	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20132688	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20135146	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20140015	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20142567	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20142581	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20143193	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20143194	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20145795	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20145794	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20152807	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20153265	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20153371	Group3	S.Kentucky	BC	WEST	2013	Chicken	Retail	.
SA20153392	Group3	S.Kentucky	BC	WEST	2013	Chicken	Retail	.
SA20156275	Group3	S.Kentucky	BC	WEST	2013	Chicken	Retail	.
SA20160323	Group3	S.Heidelberg	BC	WEST	2013	Chicken	Retail	.
SA20135256	Group3	S.Heidelberg	BC	WEST	2014	Chicken	Retail	.
SA20160908	Group3	S.Kentucky	BC	WEST	2015	Chicken	Retail	.
SA20160369	Group3	S.Heidelberg	BC	WEST	2015	Chicken	Retail	.
SA20140453	Group3	S.Kentucky	BC	WEST	2015	Chicken	Retail	.
SA20160930	Group3	S.Heidelberg	BC	WEST	2015	Chicken	Retail	.
SA20142572	Group3	S.Kentucky	BC	WEST	2015	Chicken	Retail	.
SA20135923	Group3	S.Heidelberg	NB	ATL	2013	Chicken	Retail	.
SA20141758	Group3	S.Heidelberg	NB	ATL	2013	Chicken	Retail	.
SA20141063	Group3	S.Heidelberg	NB	ATL	2014	Chicken	Retail	.
SA20141757	Group3	S.Heidelberg	NB	ATL	2015	Chicken	Retail	.
SA20145297	Group3	S.Kentucky	NB	ATL	2015	Chicken	Retail	.
SA20145787	Group3	S.Heidelberg	NS	ATL	2013	Chicken	Retail	.
SA20144942	Group3	S.Kentucky	NS	ATL	2013	Chicken	Retail	.
SA20135928	Group3	S.Heidelberg	NS	ATL	2014	Chicken	Retail	.
SA20144943	Group3	S.Heidelberg	NS	ATL	2015	Chicken	Retail	.
SA20144944	Group3	S.Heidelberg	NS	ATL	2015	Chicken	Retail	.
SA20145312	Group3	S.Heidelberg	NS	ATL	2015	Chicken	Retail	.
SA20132934	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20132921	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20132668	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20135506	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20141537	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20142566	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20143303	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20135121	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	32
SA20135136	Group3	S.Heidelberg	ON	ON	2013	Chicken	Retail	8
SA20146300	Group3	S.Heidelberg	ON	ON	2014	Chicken	Retail	221
SA20141536	Group3	S.Heidelberg	ON	ON	2015	Chicken	Retail	88
SA20142291	Group3	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
SA20143052	Group3	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
